academic_year,metric_group,metric_name,count,source_table
2006-2007,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2007-2008,Matriculant Gender,All Matriculants,17759,FACTS Chart 3
2007-2008,Matriculant Gender,Men Matriculants,9177,FACTS Chart 3
2007-2008,Matriculant Gender,Women Matriculants,8582,FACTS Chart 3
2007-2008,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2008-2009,Matriculant Gender,All Matriculants,18036,FACTS Chart 3
2008-2009,Matriculant Gender,Men Matriculants,9422,FACTS Chart 3
2008-2009,Matriculant Gender,Women Matriculants,8614,FACTS Chart 3
2008-2009,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2009-2010,Matriculant Gender,All Matriculants,18390,FACTS Chart 3
2009-2010,Matriculant Gender,Men Matriculants,9573,FACTS Chart 3
2009-2010,Matriculant Gender,Women Matriculants,8817,FACTS Chart 3
2009-2010,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2010-2011,Matriculant Gender,All Matriculants,18665,FACTS Chart 3
2010-2011,Matriculant Gender,Men Matriculants,9909,FACTS Chart 3
2010-2011,Matriculant Gender,Women Matriculants,8756,FACTS Chart 3
2010-2011,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2011-2012,Matriculant Gender,All Matriculants,19230,FACTS Chart 3
2011-2012,Matriculant Gender,Men Matriculants,10193,FACTS Chart 3
2011-2012,Matriculant Gender,Women Matriculants,9037,FACTS Chart 3
2011-2012,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2012-2013,Matriculant Gender,All Matriculants,19517,FACTS Chart 3
2012-2013,Matriculant Gender,Men Matriculants,10453,FACTS Chart 3
2012-2013,Matriculant Gender,Women Matriculants,9064,FACTS Chart 3
2012-2013,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2013-2014,Matriculant Gender,All Matriculants,20055,FACTS Chart 3
2013-2014,Matriculant Gender,Men Matriculants,10588,FACTS Chart 3
2013-2014,Matriculant Gender,Women Matriculants,9467,FACTS Chart 3
2013-2014,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2014-2015,Matriculant Gender,All Matriculants,20343,FACTS Chart 3
2014-2015,Matriculant Gender,Men Matriculants,10625,FACTS Chart 3
2014-2015,Matriculant Gender,Women Matriculants,9718,FACTS Chart 3
2014-2015,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,0,FACTS Chart 3
2015-2016,Matriculant Gender,All Matriculants,20631,FACTS Chart 3
2015-2016,Matriculant Gender,Men Matriculants,10766,FACTS Chart 3
2015-2016,Matriculant Gender,Women Matriculants,9861,FACTS Chart 3
2015-2016,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,4,FACTS Chart 3
2016-2017,Matriculant Gender,All Matriculants,21030,FACTS Chart 3
2016-2017,Matriculant Gender,Men Matriculants,10551,FACTS Chart 3
2016-2017,Matriculant Gender,Women Matriculants,10474,FACTS Chart 3
2016-2017,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,5,FACTS Chart 3
2017-2018,Matriculant Gender,All Matriculants,21338,FACTS Chart 3
2017-2018,Matriculant Gender,Men Matriculants,10516,FACTS Chart 3
2017-2018,Matriculant Gender,Women Matriculants,10810,FACTS Chart 3
2017-2018,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,12,FACTS Chart 3
2018-2019,Matriculant Gender,All Matriculants,21622,FACTS Chart 3
2018-2019,Matriculant Gender,Men Matriculants,10454,FACTS Chart 3
2018-2019,Matriculant Gender,Women Matriculants,11160,FACTS Chart 3
2018-2019,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,8,FACTS Chart 3
2019-2020,Matriculant Gender,All Matriculants,21869,FACTS Chart 3
2019-2020,Matriculant Gender,Men Matriculants,10402,FACTS Chart 3
2019-2020,Matriculant Gender,Women Matriculants,11461,FACTS Chart 3
2019-2020,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,6,FACTS Chart 3
2020-2021,Matriculant Gender,All Matriculants,22239,FACTS Chart 3
2020-2021,Matriculant Gender,Men Matriculants,10271,FACTS Chart 3
2020-2021,Matriculant Gender,Women Matriculants,11926,FACTS Chart 3
2020-2021,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,42,FACTS Chart 3
2021-2022,Matriculant Gender,All Matriculants,22666,FACTS Chart 3
2021-2022,Matriculant Gender,Men Matriculants,10057,FACTS Chart 3
2021-2022,Matriculant Gender,Women Matriculants,12590,FACTS Chart 3
2021-2022,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,19,FACTS Chart 3
2022-2023,Matriculant Gender,All Matriculants,22710,FACTS Chart 3
2022-2023,Matriculant Gender,Men Matriculants,10060,FACTS Chart 3
2022-2023,Matriculant Gender,Women Matriculants,12630,FACTS Chart 3
2022-2023,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,20,FACTS Chart 3
2023-2024,Matriculant Gender,All Matriculants,22980,FACTS Chart 3
2023-2024,Matriculant Gender,Men Matriculants,10160,FACTS Chart 3
2023-2024,Matriculant Gender,Women Matriculants,12723,FACTS Chart 3
2023-2024,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,97,FACTS Chart 3
2024-2025,Matriculant Gender,All Matriculants,23156,FACTS Chart 3
2024-2025,Matriculant Gender,Men Matriculants,10261,FACTS Chart 3
2024-2025,Matriculant Gender,Women Matriculants,12749,FACTS Chart 3
2024-2025,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,146,FACTS Chart 3
2025-2026,Matriculant Gender,All Matriculants,23441,FACTS Chart 3
2025-2026,Matriculant Gender,Men Matriculants,10410,FACTS Chart 3
2025-2026,Matriculant Gender,Women Matriculants,12900,FACTS Chart 3
2025-2026,Matriculant Gender,Another Gender Identity or Not Reported Matriculants,131,FACTS Chart 3
2016-2017,Medical Education Pipeline,Applicants,53042,FACTS Table 1
2016-2017,Medical Education Pipeline,Matriculants,21030,FACTS Table 1
2016-2017,Medical Education Pipeline,Enrollment,88181,FACTS Table 1
2016-2017,Medical Education Pipeline,Graduates,19262,FACTS Table 1
2017-2018,Medical Education Pipeline,Applicants,51680,FACTS Table 1
2017-2018,Medical Education Pipeline,Matriculants,21338,FACTS Table 1
2017-2018,Medical Education Pipeline,Enrollment,89729,FACTS Table 1
2017-2018,Medical Education Pipeline,Graduates,19562,FACTS Table 1
2018-2019,Medical Education Pipeline,Applicants,52777,FACTS Table 1
2018-2019,Medical Education Pipeline,Matriculants,21622,FACTS Table 1
2018-2019,Medical Education Pipeline,Enrollment,91218,FACTS Table 1
2018-2019,Medical Education Pipeline,Graduates,19935,FACTS Table 1
2019-2020,Medical Education Pipeline,Applicants,53368,FACTS Table 1
2019-2020,Medical Education Pipeline,Matriculants,21869,FACTS Table 1
2019-2020,Medical Education Pipeline,Enrollment,92621,FACTS Table 1
2019-2020,Medical Education Pipeline,Graduates,20390,FACTS Table 1
2020-2021,Medical Education Pipeline,Applicants,53030,FACTS Table 1
2020-2021,Medical Education Pipeline,Matriculants,22239,FACTS Table 1
2020-2021,Medical Education Pipeline,Enrollment,94064,FACTS Table 1
2020-2021,Medical Education Pipeline,Graduates,20926,FACTS Table 1
2021-2022,Medical Education Pipeline,Applicants,62443,FACTS Table 1
2021-2022,Medical Education Pipeline,Matriculants,22666,FACTS Table 1
2021-2022,Medical Education Pipeline,Enrollment,95334,FACTS Table 1
2021-2022,Medical Education Pipeline,Graduates,21057,FACTS Table 1
2022-2023,Medical Education Pipeline,Applicants,55189,FACTS Table 1
2022-2023,Medical Education Pipeline,Matriculants,22710,FACTS Table 1
2022-2023,Medical Education Pipeline,Enrollment,96376,FACTS Table 1
2022-2023,Medical Education Pipeline,Graduates,20927,FACTS Table 1
2023-2024,Medical Education Pipeline,Applicants,52577,FACTS Table 1
2023-2024,Medical Education Pipeline,Matriculants,22980,FACTS Table 1
2023-2024,Medical Education Pipeline,Enrollment,97772,FACTS Table 1
2023-2024,Medical Education Pipeline,Graduates,20872,FACTS Table 1
2024-2025,Medical Education Pipeline,Applicants,51946,FACTS Table 1
2024-2025,Medical Education Pipeline,Matriculants,23156,FACTS Table 1
2024-2025,Medical Education Pipeline,Enrollment,99454,FACTS Table 1
2024-2025,Medical Education Pipeline,Graduates,21599,FACTS Table 1
2025-2026,Medical Education Pipeline,Applicants,54699,FACTS Table 1
2025-2026,Medical Education Pipeline,Matriculants,23440,FACTS Table 1
2025-2026,Medical Education Pipeline,Enrollment,100723,FACTS Table 1
2025-2026,Medical Education Pipeline,Graduates,,FACTS Table 1
