school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public,campus_city,region,setting
"University of South Carolina Kay and C. Edward Floyd, M.D. School of Medicine",South Carolina,"November 2, 2026",Yes,2026-11-02,University of  South Carolina School of Medicine – Columbia,University of  South Carolina School of Medicine – Columbia,SC,MD,3.77,508,NR,True,Columbia,Southeast,Urban
University of South Carolina School of Medicine Greenville,South Carolina,"November 1, 2026",Yes,2026-11-01,University of South Carolina School of Medicine – Greenville,University of South Carolina School of Medicine – Greenville,SC,MD,3.75,509,NR,True,Greenville,Southeast,Urban
"University of South Dakota, Sanford School of Medicine",South Dakota,"November 2, 2026",No,2026-11-02,University of South Dakota Sanford School of Medicine,University of South Dakota Sanford School of Medicine,SD,MD,3.79,508.3,496,True,Vermillion,Midwest,Town
East Tennessee State University James H. Quillen College of Medicine,Tennessee,"November 2, 2026",Yes,2026-11-02,East  Tennessee State University Quillen College of Medicine,East  Tennessee State University Quillen College of Medicine,TN,MD,3.85,513,NR,True,Johnson City,Southeast,Urban
Meharry Medical College,Tennessee,"December 15, 2026",Yes,2026-12-15,Meharry Medical  College School of Medicine,Meharry Medical  College School of Medicine,TN,MD,3.46,503,NR,False,Nashville,Southeast,Urban
"Thomas F. Frist, Jr. College of Medicine at Belmont University",Tennessee,"November 16, 2026",Yes,2026-11-16,,,,,,,,,Nashville,Southeast,Urban
University of Tennessee Health Science Center College of Medicine,Tennessee,"October 15, 2026",No,2026-10-15,University  of Tennessee Health Science Center College of Medicine,University  of Tennessee Health Science Center College of Medicine,TN,MD,3.83,513,NR,True,Memphis,Southeast,Urban
Vanderbilt University School of Medicine,Tennessee,"November 2, 2026",Yes,2026-11-02,Vanderbilt University School of Medicine,Vanderbilt University School of Medicine,TN,MD,3.5-4.0,508-528,NR,False,Nashville,Southeast,Urban
Anne Burnett Marion School of Medicine at Texas Christian University,Texas,"November 15, 2026",Yes,2026-11-15,TCU and UNTHSC  School of Medicine,TCU and UNTHSC  School of Medicine,TX,MD,3.81,512,NR,False,Fort Worth,Southwest,Urban
Spencer Fox Eccles School of Medicine at the University of Utah,Utah,"September 1, 2026",Yes,2026-09-01,University  of Utah School of Medicine,University  of Utah School of Medicine,UT,MD,3.87,514,500,True,Salt Lake City,West,Urban
"Robert Larner, M.D., College of Medicine at the University of Vermont",Vermont,"November 2, 2026",Yes,2026-11-02,The  University of Vermont Larner College of Medicine,The  University of Vermont Larner College of Medicine,VT,MD,3.70,512,NR,True,Burlington,Northeast,Urban
Eastern Virginia Medical School at Old Dominion University,Virginia,"November 1, 2026",Yes,2026-11-01,Eastern Virginia Medical School,Eastern Virginia Medical School,VA,MD,3.70,513,NR,True,Norfolk,Mid-Atlantic,Urban
University of Virginia School of Medicine,Virginia,"November 2, 2026",Yes,2026-11-02,University of  Virginia School of Medicine,University of  Virginia School of Medicine,VA,MD,3.85,518,NR,True,Charlottesville,Mid-Atlantic,Urban
Virginia Commonwealth University School of Medicine,Virginia,"October 15, 2026",Yes,2026-10-15,Virginia  Commonwealth University School of Medicine,Virginia  Commonwealth University School of Medicine,VA,MD,3.70,512,NR,True,Richmond,Mid-Atlantic,Urban
Virginia Tech Carilion School of Medicine,Virginia,"December 1, 2026",Yes,2026-12-01,Virginia  Tech Carilion School of Medicine and Research Institute,Virginia  Tech Carilion School of Medicine and Research Institute,VA,MD,3.67,512,NR,True,Roanoke,Mid-Atlantic,Urban
University of Washington School of Medicine,Washington,"October 1, 2026",Yes,2026-10-01,University of  Washington School of Medicine,University of  Washington School of Medicine,WA,MD,3.7,511,NR,True,Seattle,West,Urban
Washington State University Elson S. Floyd College of Medicine,Washington,"October 15, 2026",Yes,2026-10-15,Washington State University Elson S. Floyd College of Medicine,Washington State University Elson S. Floyd College of Medicine,WA,MD,3.64,507.9,NR,True,Spokane,West,Urban
Marshall University Joan C. Edwards School of Medicine,West Virginia,"November 2, 2026",Yes,2026-11-02,Marshall University Joan C. Edwards School of Medicine,Marshall University Joan C. Edwards School of Medicine,WV,MD,3.81,506,496,True,Huntington,Mid-Atlantic,Urban
West Virginia University School of Medicine,West Virginia,"November 2, 2026",No,2026-11-02,West  Virginia University School of Medicine,West  Virginia University School of Medicine,WV,MD,3.80,511,NR,True,Morgantown,Mid-Atlantic,Urban
Medical College of Wisconsin,Wisconsin,"November 2, 2026",Yes,2026-11-02,Medical College of Wisconsin,Medical College of Wisconsin,WI,MD,3.70,508,NR,False,Milwaukee,Midwest,Suburban
University of Wisconsin School of Medicine and Public Health,Wisconsin,"October 15, 2026",No,2026-10-15,University of Wisconsin School of Medicine and Public Health,University of Wisconsin School of Medicine and Public Health,WI,MD,3.78,511,NR,True,Madison,Midwest,Urban
